ID,LATITUDE,LONGITUDE,Dekat_Sekolah,Dekat_Rumah_Sakit,Dekat_Pasar,Dekat_Rumah_Warga,Fasilitas_Umum_Masyarakat,Dilalui_Kendaraan_Umum,Kepadatan_Jalan,Dekat_Penginapan_Kost,Dekat_PT,Dekat_Rumah_Ibadah,Dekat_Stasiun,Dekat_Bandara,Dekat_Terminal,Kota
251,-6.233932,106.910113,1,0,0,1,1,1,2,1,0,1,0,0,0,Jakarta Timur
252,-6.238763,106.908091,0,0,0,1,0,0,1,0,1,1,0,0,0,Jakarta Timur
253,-6.241746,106.911587,1,0,0,1,1,1,2,1,0,1,0,0,0,Jakarta Timur
254,-6.242506,106.91057,1,0,0,1,1,1,2,1,0,0,0,0,0,Jakarta Timur
255,-6.245664,106.911914,1,0,0,1,1,1,2,0,0,1,0,0,0,Jakarta Timur
256,-6.246384,106.911215,1,0,0,1,0,0,1,0,0,1,0,0,0,Jakarta Timur
257,-6.246867,106.908572,0,0,0,1,1,1,2,0,0,1,0,0,0,Jakarta Timur
258,-6.221569,106.929826,1,0,1,1,1,1,2,1,0,1,0,0,0,Jakarta Timur
259,-6.222696,106.929769,1,0,1,1,1,1,2,1,0,0,0,0,0,Jakarta Timur
260,-6.223817,106.929756,1,0,1,1,1,1,1,1,1,0,0,0,0,Jakarta Timur
261,-6.225086,106.929618,1,0,1,1,1,1,1,1,1,1,0,0,0,Jakarta Timur
262,-6.225587,106.92326,0,0,0,0,1,1,2,1,0,0,0,0,0,Jakarta Timur
263,-6.222833,106.923317,1,0,0,0,1,1,2,0,0,1,0,0,0,Jakarta Timur
264,-6.214281,106.902644,0,0,0,1,1,1,3,1,0,1,1,0,0,Jakarta Timur
265,-6.241813,106.910927,1,1,0,1,1,1,2,1,0,1,0,0,0,Jakarta Timur
266,-6.225437,106.91477,1,1,0,1,1,1,2,1,0,1,0,0,0,Jakarta Timur
267,-6.233104,106.917206,1,0,0,1,1,1,2,1,0,0,0,0,0,Jakarta Timur
268,-6.223209,106.932258,0,1,1,1,1,1,3,1,0,1,0,0,0,Jakarta Timur
269,-6.256251,106.802182,0,0,0,1,0,0,1,1,0,1,0,0,0,Jakarta Selatan
270,-6.256159,106.800678,0,1,0,1,1,1,2,1,0,0,0,0,0,Jakarta Selatan
271,-6.257602,106.79927,0,0,0,1,1,1,2,1,0,0,0,0,0,Jakarta Selatan
272,-6.257759,106.794947,1,0,0,1,1,1,2,1,0,1,0,0,0,Jakarta Selatan
273,-6.257734,106.79646,1,0,0,1,1,1,2,0,0,1,0,0,0,Jakarta Selatan
274,-6.220796,106.849772,0,1,1,1,1,1,3,1,0,1,0,0,0,Jakarta Selatan
275,-6.216579,106.85501,1,0,0,1,1,1,3,1,0,0,1,0,0,Jakarta Selatan
276,-6.217413,106.855577,1,0,0,1,1,1,3,1,0,0,1,0,0,Jakarta Selatan
277,-6.218317,106.859331,1,0,0,1,1,1,3,0,1,1,1,0,0,Jakarta Selatan
278,-6.264807,106.817201,1,0,0,1,1,1,2,1,0,0,0,0,0,Jakarta Selatan
279,-6.265497,106.820366,0,0,1,1,0,0,2,0,0,0,0,0,0,Jakarta Selatan
280,-6.265743,106.823832,1,0,0,0,0,1,1,1,1,0,0,0,0,Jakarta Selatan
281,-6.267453,106.814191,1,0,0,0,0,1,1,1,1,0,0,0,0,Jakarta Selatan
282,-6.264565,106.808512,1,0,0,1,1,1,3,1,0,0,0,0,0,Jakarta Selatan
283,-6.265958,106.809139,1,0,0,1,0,0,1,0,0,1,0,0,0,Jakarta Selatan
284,-6.268267,106.808655,0,0,0,0,1,0,3,0,0,0,0,0,0,Jakarta Selatan
285,-6.270124,106.809148,0,0,0,1,0,0,3,0,0,0,0,0,0,Jakarta Selatan
286,-6.267774,106.797333,0,0,0,0,1,1,3,0,0,0,1,0,0,Jakarta Selatan
287,-6.269445,106.797412,0,0,0,0,1,1,3,0,1,0,1,0,0,Jakarta Selatan
288,-6.271674,106.797593,1,0,0,0,1,1,3,0,1,0,1,0,0,Jakarta Selatan
289,-6.280063,106.855067,0,0,0,1,1,1,3,1,1,0,0,0,0,Jakarta Selatan
290,-6.282388,106.855193,1,0,0,1,1,1,3,1,1,0,0,0,0,Jakarta Selatan
291,-6.239173,106.795313,0,1,0,1,1,0,2,0,1,0,0,0,0,Jakarta Selatan
292,-6.242414,106.787913,1,1,1,1,1,0,3,0,0,0,0,0,0,Jakarta Selatan
293,-6.240825,106.787923,0,1,0,1,1,0,3,0,0,0,0,0,0,Jakarta Selatan
294,-6.241002,106.786224,1,1,0,1,0,0,2,1,1,1,0,0,0,Jakarta Selatan
295,-6.23579,106.785835,0,0,1,1,1,1,2,1,0,0,0,0,0,Jakarta Selatan
296,-6.253679,106.784394,1,0,0,1,1,0,2,1,0,0,0,0,0,Jakarta Selatan
297,-6.311163,106.831837,0,0,0,1,0,0,1,1,0,0,0,0,0,Jakarta Selatan
298,-6.313574,106.830845,1,0,0,1,0,0,1,1,0,0,0,0,0,Jakarta Selatan
299,-6.314265,106.832607,0,0,0,1,0,0,1,0,0,0,0,0,0,Jakarta Selatan
300,-6.314832,106.837714,1,0,0,0,1,1,3,0,0,0,0,0,0,Jakarta Selatan
301,-6.311855,106.838074,0,0,0,0,1,1,2,0,0,0,0,0,0,Jakarta Selatan
302,-6.295013,106.871817,0,0,1,1,1,1,3,0,1,1,0,0,0,Jakarta Selatan
303,-6.299539,106.869651,1,0,0,0,1,1,2,0,0,0,0,0,0,Jakarta Selatan
304,-6.259719,106.868632,0,0,1,1,1,1,3,1,0,0,0,0,0,Jakarta Selatan
